,term
0,H2O
1,H2O
2,Gaz
3,Gaz
4,Ambient air
5,Air ambiant
6,CO2
7,CO2
8,O2
9,O2
10,N2
11,N2
12,Organic vapor
13,Vapeur organique
14,Carvacrol
15,Carvacrol
16,Limonène
17,Limonene
