,term
0,Neither agree nor disagree
1,Ni d'accord ni pas d'accord
2,Rather disagree
3,Plutôt pas d'accord
4,NSP
5,Don’t know
6,Somewhat agree
7,Plutôt d'accord
8,Pas du tout d'accord
9,Not agree at all
10,Totally agree
11,Tout à fait d'accord
