,term
0,Non competitive CO2 inhibition
1,Inhibition CO2 non compétitive
2,Pas d'inhibition CO2
3,No CO2 inhibition
4,Competitive CO2 inhibition
5,Inhibition CO2
6,Inhibition CO2 non compétitive
7,Uncompetitive CO2 inhibition
