,Relation,Concept,OntoProcess
87,young_modulus_relation,crosshead_speed,http://opendata.inra.fr/resources/hSC9z#crosshead_speed
88,young_modulus_relation,thickness,http://opendata.inra.fr/resources/hSC9z#thickness
89,young_modulus_relation,young_modulus,http://opendata.inra.fr/resources/hSC9z#young_modulus
90,degradation_temperature_relation,degradation_temperature,http://opendata.inra.fr/resources/hSC9z#degradation_temperature
91,degradation_temperature_relation,heating_ramp,http://opendata.inra.fr/resources/hSC9z#heating_ramp
92,degradation_temperature_relation,degradation_temperature_number_of_repetitions,http://opendata.inra.fr/resources/hSC9z#degradation_temperature_number_of_repetitions
93,matrix_properties_bulk_density,bulk_density,http://opendata.inra.fr/resources/hSC9z#bulk_density
94,matrix_properties_product_density,product_density,http://opendata.inra.fr/resources/hSC9z#product_density
95,ki_relation,ki,http://opendata.inra.fr/resources/hSC9z#ki
96,ki_relation,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
97,q10_relation,q10,http://opendata.inra.fr/resources/hSC9z#q10
98,q10_relation,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
99,volatil_solubility_relation,volatil_solubility,http://opendata.inra.fr/resources/hSC9z#volatil_solubility
100,volatil_solubility_relation,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
101,volatil_solubility_relation,volatil_partial_pressure,http://opendata.inra.fr/resources/hSC9z#volatil_partial_pressure
102,permeabilities,default_quantity_result,http://opendata.inra.fr/resources/hSC9z#default_quantity_result
103,dielectric_permitivity_relation,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
104,dielectric_permitivity_relation,dielectric_permitivity,http://opendata.inra.fr/resources/hSC9z#dielectric_permitivity
105,dielectric_permitivity_relation,frequency,http://opendata.inra.fr/resources/hSC9z#frequency
106,dielectric_permitivity_relation,aw,http://opendata.inra.fr/resources/hSC9z#aw
107,matrix_properties_lipid_qty,lipid_qty,http://opendata.inra.fr/resources/hSC9z#lipid_qty
108,glass_transition_temperature_relation,glass_transition_temperature,http://opendata.inra.fr/resources/hSC9z#glass_transition_temperature
109,glass_transition_temperature_relation,heating_ramp,http://opendata.inra.fr/resources/hSC9z#heating_ramp
110,matrix_properties_proteolysis,proteolysis,http://opendata.inra.fr/resources/hSC9z#proteolysis
111,km_relation,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
112,km_relation,km,http://opendata.inra.fr/resources/hSC9z#km
113,matrix_properties_ph,ph,http://opendata.inra.fr/resources/hSC9z#ph
114,ff_h2o_solubility_relation_c,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
115,ff_h2o_solubility_relation_c,ff_c,http://opendata.inra.fr/resources/hSC9z#ff_c
116,matrix_properties_propionic_acid_qty,propionic_acid_qty,http://opendata.inra.fr/resources/hSC9z#propionic_acid_qty
